"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"TAGAP",1.2782926879846e-214,0.322694450925711,0.245,0.064,2.37199991182422e-210,"T cells"
"CXCL8",2.33204042275101e-214,-0.98607406504646,0.025,0.177,4.32733420845678e-210,"T cells"
"CD37",1.31942554195702e-213,0.377302199141315,0.437,0.191,2.44832603565544e-209,"T cells"
"TPD52L1",1.27835580673259e-212,-0.372722202980147,0.043,0.217,2.372117034973e-208,"T cells"
"ESAM",3.90382036625195e-212,-0.274971900346322,0.003,0.127,7.24392907161712e-208,"T cells"
"SNCG",9.29107005203385e-212,-0.501014673900985,0.094,0.296,1.7240509588554e-207,"T cells"
"ALDH2",7.78791973304455e-211,-0.267525290023751,0.037,0.212,1.44512638566375e-206,"T cells"
"ZFP36L1",4.95893759219249e-210,-0.626608212579599,0.266,0.485,9.20180459607238e-206,"T cells"
"SEC14L1",1.82836672089707e-209,-0.292646749907877,0.034,0.204,3.39271728729661e-205,"T cells"
"LGALS1",1.85921191072506e-208,-0.596737411242812,0.403,0.648,3.44995362154142e-204,"T cells"
"CAVIN2",5.50616004408726e-207,-0.375951562077234,0.005,0.13,1.02172305778083e-202,"T cells"
"TSC22D1",4.72916412689914e-206,-0.358592906245463,0.023,0.177,8.77543695387404e-202,"T cells"
"RPS2",6.65624559519638e-206,0.367039288152232,1,0.983,1.23513293264464e-201,"T cells"
"FYB1",6.74452289414948e-206,0.399672376760751,0.406,0.177,1.25151366823838e-201,"T cells"
"PTPRB",8.57031898290667e-206,-0.271085315817631,0.003,0.124,1.59030839046816e-201,"T cells"
"HMOX1",5.98783263729788e-205,-0.293250416453861,0.011,0.149,1.11110222417699e-200,"T cells"
"FKBP2",3.08579004741335e-204,-0.365546487740992,0.174,0.415,5.7259920119802e-200,"T cells"
"IL6ST",3.18578526026078e-204,-0.342483317854946,0.051,0.23,5.91154312893991e-200,"T cells"
"HLA-DQB1",4.26304645260583e-204,-0.616465819637415,0.176,0.382,7.91050899745537e-200,"T cells"
"FAM167B",7.2952125313346e-204,-0.454955933611625,0.008,0.134,1.35369963731445e-199,"T cells"
"STK17B",7.44472866346313e-204,0.338500430248256,0.29,0.097,1.38144385079222e-199,"T cells"
"NINJ1",7.94534292873219e-204,-0.309974018689363,0.059,0.247,1.47433783385555e-199,"T cells"
"ID1",3.15645360286477e-203,-0.666646582633772,0.018,0.158,5.85711530547587e-199,"T cells"
"HLA-DPB1",6.76274720827269e-203,-0.829824780437251,0.479,0.535,1.25489537196708e-198,"T cells"
"HLA-DMA",9.06393967908883e-203,-0.479698837487965,0.168,0.381,1.68190464685172e-198,"T cells"
"LDB2",2.12802574207809e-202,-0.292100566846602,0.004,0.126,3.9487645670001e-198,"T cells"
"TYMP",7.24332435345011e-201,-0.564256293496293,0.169,0.366,1.3440712670262e-196,"T cells"
"ENG",3.94698759813305e-200,-0.276780855319277,0.011,0.145,7.32403018709568e-196,"T cells"
"MRPL33",4.22145060351485e-200,-0.550595753813074,0.281,0.441,7.83332373988216e-196,"T cells"
"TRAF3IP3",5.78412188139345e-200,0.262790960503293,0.211,0.047,1.07330165631137e-195,"T cells"
"CYP21A2",2.23587440199171e-199,-1.12353003314223,0.19,0.337,4.14888854033582e-195,"T cells"
"ADGRL4",4.2582782365165e-199,-0.2780457825148,0.003,0.122,7.90166109568002e-195,"T cells"
"BASP1",4.44711548274439e-199,-0.262321074901745,0.009,0.14,8.2520674897805e-195,"T cells"
"CAVIN1",1.78636592009946e-198,-0.259256442955615,0.008,0.137,3.31478060133656e-194,"T cells"
"RPL14",1.78928918938808e-198,0.405119465122595,0.981,0.924,3.32020501982852e-194,"T cells"
"C3",5.69480779959347e-198,-0.367692522999512,0.03,0.188,1.05672853529257e-193,"T cells"
"CAMK1",6.63704139186899e-197,-0.276007755600517,0.039,0.207,1.23156940067521e-192,"T cells"
"ANXA1",2.25152269613871e-196,0.535104778925827,0.505,0.273,4.17792551495499e-192,"T cells"
"FDXR",8.15012483758988e-196,-0.541859592713517,0.101,0.274,1.51233716486318e-191,"T cells"
"AKR1B1",1.86309343617714e-195,-0.957332942510369,0.458,0.58,3.4571561801703e-191,"T cells"
"FKBP1A",2.08018573097212e-194,-0.471112869776104,0.247,0.47,3.85999264239186e-190,"T cells"
"MARCKSL1",3.70561586341444e-194,-0.358715627026634,0.059,0.235,6.87614079615183e-190,"T cells"
"HBEGF",3.34067141592593e-193,-0.311652614324991,0.012,0.144,6.19894987939216e-189,"T cells"
"GSTP1",6.19323018280444e-192,-0.398529209508027,0.354,0.6,1.14921579272119e-187,"T cells"
"ARL4C",6.48769060403246e-191,0.345947581266542,0.338,0.128,1.20385586848426e-186,"T cells"
"KLRB1",9.74632246493771e-191,0.773352591704571,0.212,0.054,1.80852759659384e-186,"T cells"
"SOX18",1.73108580703444e-190,-0.311278439291989,0.002,0.112,3.2122028235331e-186,"T cells"
"RPS12",3.0692726253182e-190,0.436712795985585,0.999,0.987,5.69534228354046e-186,"T cells"
"UGCG",6.93025510581591e-190,-0.408710520688947,0.057,0.221,1.2859781374352e-185,"T cells"
"YBX3",9.67644110338181e-190,-0.366712086366312,0.131,0.347,1.79556041114353e-185,"T cells"
"TGFBR2",1.22597169852116e-189,-0.506236012752392,0.068,0.229,2.27491308377586e-185,"T cells"
"IL1B",6.09221130997263e-189,-0.750608337815388,0.015,0.144,1.13047073067852e-184,"T cells"
"TPM2",9.21743450352145e-189,-0.427749863692476,0.044,0.208,1.71038714647344e-184,"T cells"
"SERPINA1",1.33597145889581e-188,-0.28226582170291,0.008,0.131,2.47902863912706e-184,"T cells"
"NAMPT",5.13310831780778e-188,-0.472061808459957,0.101,0.288,9.52499579452411e-184,"T cells"
"RBP7",2.5606484371463e-187,-0.264617009588085,0.007,0.13,4.75153923996868e-183,"T cells"
"CMC1",1.69880747491917e-186,0.440701783520551,0.257,0.088,3.15230715046001e-182,"T cells"
"CYTOR",2.94732765290196e-186,0.368242505821178,0.348,0.157,5.46906119272487e-182,"T cells"
"TGM2",4.11688718656212e-186,-0.265167532893291,0.004,0.117,7.63929586338468e-182,"T cells"
"PHACTR2",8.15874240933755e-186,-0.318717493573667,0.055,0.226,1.51393624147668e-181,"T cells"
"CD83",1.09557406285394e-185,-0.423823592263651,0.044,0.203,2.03294723103177e-181,"T cells"
"BAMBI",9.13597136037934e-185,-0.274037606093891,0.012,0.14,1.69527084563199e-180,"T cells"
"SLCO2A1",1.13785529320918e-184,-0.265038795549621,0.005,0.118,2.11140428207896e-180,"T cells"
"AC114760.2",1.5955661058067e-184,0.262546400698371,0.184,0.038,2.96073246593491e-180,"T cells"
"PODXL",1.96484160652279e-184,-0.275275004649947,0.003,0.114,3.64596008506369e-180,"T cells"
"TFF3",2.00444823176589e-184,-0.448625596552026,0.004,0.117,3.71945413886479e-180,"T cells"
"SH3BP5",2.16323979603821e-184,-0.34354506885589,0.071,0.25,4.01410776552851e-180,"T cells"
"PLSCR1",3.03155192985451e-184,-0.267649943890819,0.05,0.22,5.62534776103802e-180,"T cells"
"EPAS1",3.78365670828205e-184,-0.328829266306439,0.014,0.143,7.02095338788817e-180,"T cells"
"DSTN",2.03000763491622e-183,-0.475754350285389,0.177,0.391,3.76688216735054e-179,"T cells"
"G0S2",2.21951702218997e-183,-0.63805254216825,0.046,0.203,4.11853578637571e-179,"T cells"
"CPEB4",2.98635653537944e-183,-0.266695943576954,0.037,0.195,5.54148318705009e-179,"T cells"
"S100A6",3.33837094067998e-183,-0.454481379517101,0.805,0.701,6.19468111752577e-179,"T cells"
"NENF",1.41157718207452e-182,-0.315905570734108,0.12,0.325,2.61932261905748e-178,"T cells"
"SPOCK2",2.52942093172082e-182,0.260595743519712,0.202,0.05,4.69359348090115e-178,"T cells"
"NPDC1",7.53296861611875e-182,-0.255650943746584,0.011,0.136,1.397817656407e-177,"T cells"
"SUB1",8.25673560497883e-182,0.403505332200318,0.613,0.489,1.53211985885987e-177,"T cells"
"ELF1",1.17505059058791e-181,0.369957359830284,0.366,0.171,2.18042387589492e-177,"T cells"
"HLA-DQA1",1.40060756587524e-180,-0.529457703027613,0.105,0.285,2.5989673992381e-176,"T cells"
"HLA-DMB",1.81662528681475e-180,-0.331624601109946,0.056,0.222,3.37092988221345e-176,"T cells"
"SMIM14",2.55834724030409e-180,-0.266205639545038,0.048,0.214,4.74726913910827e-176,"T cells"
"MNDA",5.79799284015272e-180,-0.254877621426413,0.018,0.152,1.07587555141874e-175,"T cells"
"SERPINA5",1.96764860001574e-179,-0.281219421729378,0.036,0.189,3.65116874218921e-175,"T cells"
"MT1E",2.13685523125819e-179,-0.585967794097447,0.18,0.356,3.96514856712269e-175,"T cells"
"S100A9",2.94411380683461e-179,-1.3186467492436,0.051,0.198,5.46309757996231e-175,"T cells"
"SLIRP",3.20234296410292e-179,-0.309016630059785,0.146,0.363,5.94226760418937e-175,"T cells"
"RPS27A",2.28403707273314e-178,0.381408557945774,1,0.987,4.23825919216361e-174,"T cells"
"CRHBP",2.51441659355327e-177,-0.366360193430577,0.004,0.111,4.66575143099745e-173,"T cells"
"AC016831.5",5.36824744062693e-177,0.266849152920256,0.199,0.051,9.96131995082733e-173,"T cells"
"CLDN5",8.68351630190569e-177,-0.377648956400771,0.004,0.113,1.61131328498162e-172,"T cells"
"TNXB",1.1009427047276e-176,-0.29430530231627,0.03,0.175,2.04290928289253e-172,"T cells"
"SRSF7",2.68881227622867e-176,0.404096521824696,0.454,0.258,4.98936005976992e-172,"T cells"
"LYAR",1.31099938780417e-175,0.259289880333772,0.21,0.056,2.43269046400942e-171,"T cells"
"CTSS",8.97868451988293e-174,-0.521656160069922,0.151,0.303,1.66608469950948e-169,"T cells"
"PCSK7",1.2541679700111e-173,0.314747870195261,0.264,0.096,2.3272340851526e-169,"T cells"
"CLTA",2.67268116513996e-173,-0.297751515776581,0.155,0.371,4.95942717003371e-169,"T cells"
"CRIP2",4.42566645631437e-173,-0.353357964201544,0.022,0.151,8.21226667633694e-169,"T cells"
"FAM166B",7.07678540592354e-173,-0.350898124473297,0.041,0.189,1.31316829992317e-168,"T cells"
"HMGN3",3.22614456969855e-172,-0.296156252096561,0.137,0.345,5.98643386353263e-168,"T cells"
"IKZF1",4.4570283458946e-172,0.267377398083154,0.234,0.071,8.27046179864201e-168,"T cells"
"COX5B",1.33159578611392e-171,-0.397212168155021,0.437,0.654,2.47090914071299e-167,"T cells"
"GPX4",4.23303419047142e-171,-0.405714282426062,0.363,0.587,7.85481824383876e-167,"T cells"
"DLK1",1.83372945064758e-169,-0.81067346158785,0.151,0.282,3.40266836862166e-165,"T cells"
"AP2S1",2.4313919481468e-169,-0.322536729220995,0.186,0.405,4.51169089898119e-165,"T cells"
"CD81",3.18178959884994e-169,-0.404311903645685,0.173,0.36,5.90412877962595e-165,"T cells"
"HSPA8",6.28287629518083e-169,0.455993338229476,0.662,0.503,1.16585052533376e-164,"T cells"
"FOLR2",7.13831031584685e-169,-0.252627178685803,0.008,0.121,1.32458486220854e-164,"T cells"
"ATF3",7.33793678557272e-168,-0.42559570066483,0.085,0.258,1.36162754993087e-163,"T cells"
"MGARP",6.12188787758429e-167,-0.301496164741505,0.049,0.203,1.13597751456454e-162,"T cells"
"CKB",1.07748088241299e-165,-0.268959694517247,0.026,0.161,1.99937352540555e-161,"T cells"
"TIMM13",8.24509873534182e-165,-0.304072528916874,0.118,0.309,1.52996052133003e-160,"T cells"
"ICAM3",2.10480606017244e-164,0.263423660033667,0.226,0.069,3.90567812525598e-160,"T cells"
"PRDX2",2.91296985082273e-164,-0.460465770364537,0.237,0.403,5.40530685518666e-160,"T cells"
"GABARAP",1.11052240505049e-163,-0.305226182530846,0.13,0.327,2.06068537481168e-159,"T cells"
"ZFAND5",2.37448384958614e-163,-0.314451759047657,0.116,0.307,4.40609223129203e-159,"T cells"
"RPL13A",8.16791924935929e-162,0.337669402459442,1,0.996,1.51563909591111e-157,"T cells"
"SDCBP",9.59854177200342e-162,-0.398645963930731,0.276,0.491,1.78110541121295e-157,"T cells"
"PPP1R2",1.7342591718082e-161,0.309829939881795,0.29,0.126,3.2180913192073e-157,"T cells"
"SOAT1",5.9731322119604e-161,-0.346020220065201,0.087,0.256,1.10837441325137e-156,"T cells"
"HSP90B1",7.54610259865003e-161,-0.335227241659848,0.201,0.418,1.4002547982055e-156,"T cells"
"YWHAH",1.18500485135411e-160,-0.379189943317114,0.11,0.29,2.19889500217268e-156,"T cells"
"TERF2IP",3.34331227873612e-160,0.324113075272453,0.373,0.211,6.20385026442274e-156,"T cells"
"ID3",5.09646007868851e-160,-0.554368284607967,0.033,0.161,9.4569913220144e-156,"T cells"
"CTSD",1.79121788564704e-159,-0.427272719664657,0.273,0.475,3.32378390860664e-155,"T cells"
"GPX3",1.20297469770964e-158,-0.311755436146632,0.009,0.119,2.23223984907002e-154,"T cells"
"PEG10",1.48924136739199e-158,-0.467901663443919,0.046,0.178,2.76343628133257e-154,"T cells"
"NDUFC1",2.72074581572073e-158,-0.342230031722677,0.166,0.362,5.04861593565138e-154,"T cells"
"ATP6V0B",1.23255231827215e-156,-0.318124379181483,0.193,0.402,2.28712408178581e-152,"T cells"
"PRDX1",2.39893646221204e-156,-0.341972552217748,0.324,0.551,4.45146649928067e-152,"T cells"
"STAR",2.89056860712066e-155,-0.880154951382021,0.4,0.468,5.36373910737309e-151,"T cells"
"AC245297.3",4.02343187928434e-155,0.256210540223937,0.218,0.069,7.46588019520003e-151,"T cells"
"ACADVL",1.53271191354976e-153,-0.339433062376034,0.15,0.337,2.84410022678294e-149,"T cells"
"LMNA",1.70913479221108e-153,-0.386313962535045,0.127,0.317,3.17147052042689e-149,"T cells"
"S100A13",1.40722155887604e-152,-0.257928507556387,0.038,0.178,2.61124032465039e-148,"T cells"
"HMGB2",2.74769779771152e-152,0.419369262156936,0.307,0.145,5.09862803343349e-148,"T cells"
"COMT",6.77226415616515e-152,-0.252881684166607,0.088,0.26,1.25666133681801e-147,"T cells"
"AC020916.1",2.19305800307515e-151,0.382593363983797,0.321,0.148,4.06943843050624e-147,"T cells"
"FOSL2",3.57338839518598e-151,-0.344590653300938,0.135,0.318,6.6307795061071e-147,"T cells"
"TSPO",5.08784324259618e-151,-0.341247977956186,0.252,0.465,9.44100192096146e-147,"T cells"
"CCL3L1",6.05407246569033e-151,-0.710389005712781,0.312,0.208,1.1233936867335e-146,"T cells"
"AP1S2",7.46308483101286e-151,-0.31976414213266,0.087,0.254,1.38485002124275e-146,"T cells"
"TPI1",1.2653057810844e-150,-0.346080362670327,0.314,0.533,2.3479014073802e-146,"T cells"
"CYP11B1",8.32651246662949e-150,-0.586189313131302,0.146,0.275,1.54506765330777e-145,"T cells"
"ANXA5",1.00848102024601e-148,-0.306862257101528,0.181,0.383,1.87133738116849e-144,"T cells"
"AAMDC",3.40086569326773e-147,-0.282948321726232,0.087,0.255,6.31064638042759e-143,"T cells"
"RPL13",3.05231188670939e-146,0.32972517636374,1,0.997,5.66386993697794e-142,"T cells"
"UQCRQ",3.42401565460541e-144,-0.391479077458835,0.339,0.536,6.35360344868579e-140,"T cells"
"LPAR6",1.82869772788825e-143,-0.254534121772111,0.048,0.188,3.39333150386944e-139,"T cells"
"MT3",3.39321485633273e-143,-0.375132443092953,0.028,0.146,6.296449487411e-139,"T cells"
"GNAS",1.29579804830769e-142,-0.337519275568733,0.254,0.46,2.40448285843976e-138,"T cells"
"IFI44L",4.73119678358441e-142,-0.37373249576831,0.152,0.337,8.77920875161923e-138,"T cells"
"TMEM219",1.11702013759726e-141,-0.263448979408751,0.155,0.346,2.07274256732548e-137,"T cells"
"ANXA6",2.09863517995962e-141,0.251004084836264,0.24,0.088,3.89422743993307e-137,"T cells"
"RPS21",4.74919741964167e-140,0.351791733785075,0.91,0.834,8.81261073188708e-136,"T cells"
"SH3BGRL3",2.23169840411659e-139,0.373288790746542,0.723,0.528,4.14113955867875e-135,"T cells"
"SOCS3",6.96315917457816e-139,-0.468303339317295,0.109,0.259,1.29208381643472e-134,"T cells"
"ACTB",8.79408698136096e-139,0.315855787252908,0.99,0.931,1.63183078026134e-134,"T cells"
"LY6E",2.1836684840442e-137,-0.501738200272649,0.469,0.615,4.05201523899242e-133,"T cells"
"CDC42SE2",1.90816699507772e-136,0.254400587525308,0.251,0.099,3.54079467606622e-132,"T cells"
"LIMD2",2.44411472786949e-136,0.275927393773654,0.285,0.118,4.53529928903462e-132,"T cells"
"CYB5B",6.36897644140234e-136,-0.35843491404628,0.131,0.294,1.18182726846662e-131,"T cells"
"GADD45G",2.07262006606465e-135,-0.350320526030598,0.049,0.181,3.84595379458956e-131,"T cells"
"ATP5PF",2.88013073419179e-135,-0.358929956055828,0.326,0.518,5.34437059036628e-131,"T cells"
"PRDX5",7.22761828256476e-135,-0.332796398034733,0.271,0.469,1.34115684851272e-130,"T cells"
"QPCT",1.93971151319767e-133,-0.275617529557384,0.041,0.167,3.5993286838896e-129,"T cells"
"DCN",6.48058209152917e-133,-0.870221774352035,0.032,0.142,1.20253681290415e-128,"T cells"
"SMS",6.90607962525142e-133,-0.365156324587821,0.126,0.29,1.28149213526165e-128,"T cells"
"CCL2",1.055286771234e-132,-0.564553216210378,0.011,0.106,1.95819013270181e-128,"T cells"
"RNASET2",4.47271982183376e-132,-0.383013586340446,0.175,0.303,8.29957890139472e-128,"T cells"
"ARF6",1.04770280457819e-131,0.305862264923002,0.405,0.233,1.94411732417529e-127,"T cells"
"SPTSSA",1.23964493739462e-131,-0.266767062901503,0.062,0.203,2.30028514582945e-127,"T cells"
"HSD3B2",4.6511443887699e-131,-1.08236878426767,0.339,0.371,8.63066352780142e-127,"T cells"
"MT-ND4",2.06811766147705e-130,-0.680513953612029,0.986,0.982,3.83759913263682e-126,"T cells"
"ATP5ME",3.44779089038344e-130,-0.32914634027216,0.401,0.603,6.39772077619551e-126,"T cells"
"NDUFB2",2.28908641068376e-129,-0.324871626103779,0.347,0.55,4.24762874366479e-125,"T cells"
"SQSTM1",5.51777340912597e-129,-0.280608733075174,0.178,0.365,1.02387803379741e-124,"T cells"
"SAT2",2.1631068995925e-128,-0.288802920713646,0.145,0.319,4.01386116288385e-124,"T cells"
"EID1",2.33817048063248e-128,-0.308833185422392,0.242,0.437,4.33870914386163e-124,"T cells"
"ISG20",1.83798211718199e-127,0.315419089631251,0.353,0.176,3.4105596166429e-123,"T cells"
"NDUFC2",1.84164744553617e-127,-0.324641781127395,0.239,0.427,3.41736099993691e-123,"T cells"
"RPS25",9.25314609850625e-127,0.331848540794498,0.996,0.972,1.71701379003882e-122,"T cells"
"BAX",1.58729396492368e-126,0.325167778011056,0.34,0.212,2.94538268131237e-122,"T cells"
"AP2M1",1.93895837078223e-126,-0.290528239943291,0.201,0.387,3.5979311528235e-122,"T cells"
"WIPF1",3.40384543307333e-126,0.259198488259374,0.268,0.12,6.31617558561088e-122,"T cells"
"SMIM4",5.70384193916404e-126,-0.253425613234217,0.09,0.243,1.05840491023128e-121,"T cells"
"GSTO1",8.84838127487435e-126,-0.265020340287125,0.145,0.318,1.64190562936568e-121,"T cells"
"ZBTB20",3.70690630766946e-125,-0.278265868425817,0.126,0.294,6.87853534451145e-121,"T cells"
"AAK1",5.84229531948422e-125,0.268452963007448,0.293,0.144,1.08409631948349e-120,"T cells"
"GJA1",1.3044798119007e-124,-0.285104284652321,0.043,0.162,2.42059273896293e-120,"T cells"
"RPS26",1.49627071648074e-124,-0.44700735726316,0.547,0.671,2.77647994150165e-120,"T cells"
"SPRY1",2.00996688309358e-124,-0.378421149047238,0.019,0.119,3.72969454826845e-120,"T cells"
"MGST3",8.1073045063108e-124,-0.315375244644752,0.246,0.432,1.50439142419103e-119,"T cells"
"NDUFB1",9.59133798928206e-124,-0.301243526376004,0.348,0.551,1.77976867729118e-119,"T cells"
"POLR2J3.1",1.24437296389689e-123,0.297689147644142,0.342,0.189,2.30905847180708e-119,"T cells"
"RPS7",2.37646556450314e-123,0.31772392336799,0.982,0.941,4.40976950149203e-119,"T cells"
"FDX1",5.12898262744594e-123,-0.641125290603436,0.298,0.392,9.51734016348869e-119,"T cells"
"PAXX",1.84366407868417e-122,0.253958995413402,0.265,0.121,3.42110306440635e-118,"T cells"
"FIS1",2.14196234498369e-122,-0.269425116236881,0.207,0.395,3.97462532735173e-118,"T cells"
"MLEC",2.43786648376116e-122,-0.26427889565482,0.092,0.242,4.5237050472672e-118,"T cells"
"PRDX3",9.61754377919656e-122,-0.286069101226904,0.134,0.297,1.78463142366771e-117,"T cells"
"NDUFA11",8.23008117409389e-121,-0.341534466206484,0.362,0.542,1.52717386266486e-116,"T cells"
"RPS18",3.58203758416917e-120,0.316037805838767,0.999,0.995,6.64682894118432e-116,"T cells"
"ELOB",2.47633988973938e-119,-0.306032179975895,0.451,0.644,4.59509629940039e-115,"T cells"
"CD99",3.17560673189642e-119,0.319062019881347,0.45,0.285,5.892655851707e-115,"T cells"
"APOC1",1.23563965707691e-118,-0.940622572027041,0.541,0.544,2.29285294767191e-114,"T cells"
"TMA7",8.29888775717319e-118,0.28307275113186,0.738,0.691,1.53994161222106e-113,"T cells"
"NDUFB7",8.92697647548064e-117,-0.2581198824973,0.235,0.423,1.65648975479019e-112,"T cells"
"S100A8",1.68950858186654e-116,-1.01295989550815,0.035,0.131,3.13505212451156e-112,"T cells"
"CTNNB1",1.3916150235326e-115,-0.265749296512274,0.101,0.25,2.5822808376671e-111,"T cells"
"RPL31",2.91293898146609e-115,0.296649826143047,0.993,0.952,5.40524957400848e-111,"T cells"
"MYADM",5.26030855165755e-115,0.263968732040114,0.26,0.116,9.76102854845574e-111,"T cells"
"RPS20",6.71450571228965e-115,0.318967730785533,0.99,0.954,1.24594367997247e-110,"T cells"
"SARAF",9.27261183936128e-115,0.284847915381996,0.517,0.438,1.72062585291188e-110,"T cells"
"DHCR24",5.73867355285054e-114,-0.44529306163459,0.158,0.287,1.06486826446695e-109,"T cells"
"ISG15",1.01980325125643e-113,-0.580092737514009,0.304,0.434,1.89234691303143e-109,"T cells"
"PTMS",1.05117220774383e-112,-0.275985470705446,0.145,0.305,1.95055514868945e-108,"T cells"
"ATP1B3",1.5728144235865e-112,-0.329757802466484,0.192,0.357,2.91851444440712e-108,"T cells"
"NUPR1",3.09300359164162e-112,-0.482786986931141,0.166,0.309,5.73937746465018e-108,"T cells"
"SCARB1",3.30992869008776e-112,-0.291001295128181,0.069,0.191,6.14190367732684e-108,"T cells"
"RSRP1",4.44350694829828e-110,0.280055781869012,0.368,0.222,8.2453714932623e-106,"T cells"
"CLEC2B",5.62490706388336e-110,0.267541103748208,0.287,0.148,1.0437577547742e-105,"T cells"
"POR",2.06848833233352e-109,-0.285207575199755,0.061,0.182,3.83828694947808e-105,"T cells"
"C9orf16",2.64110319333145e-109,-0.395250397165444,0.348,0.457,4.90083108554584e-105,"T cells"
"CALM1",8.37254875698318e-109,0.314824547440852,0.635,0.46,1.5536101473458e-104,"T cells"
"CFL1",2.26634575076945e-108,0.343332579639695,0.799,0.687,4.2054311751278e-104,"T cells"
"PRDM1",5.99494322959517e-108,0.256706075650575,0.244,0.103,1.11242166568368e-103,"T cells"
"NDUFA4",3.33689334274346e-107,-0.339665149947685,0.521,0.674,6.19193928679476e-103,"T cells"
"MGST1",1.28829600893278e-106,-0.591565955030476,0.321,0.396,2.39056207417566e-102,"T cells"
"HSPA1A",2.36778819403517e-105,-0.588639722306223,0.545,0.666,4.39366777285166e-101,"T cells"
"YBX1",1.77002647305913e-104,-0.340800217939566,0.47,0.636,3.28446112340851e-100,"T cells"
"CALM2",6.8932799076682e-104,-0.352711523679219,0.735,0.802,1.27911701966691e-99,"T cells"
"SEPT7",8.1341162049434e-104,0.287173480477749,0.408,0.26,1.5093666029893e-99,"T cells"
"MAT2A",1.55180634887651e-103,-0.250742987579402,0.092,0.228,2.87953186097526e-99,"T cells"
"H3F3A",7.34686147224113e-102,-0.311396650565066,0.806,0.869,1.36328361478906e-97,"T cells"
"CD53",5.99213237769852e-100,0.264970698620125,0.366,0.204,1.11190008400574e-95,"T cells"
"MT-CO2",1.21479626826528e-99,-0.651080309306424,0.997,0.99,2.25417595539305e-95,"T cells"
"GSTA4",1.80179270541209e-99,-0.301417101584905,0.088,0.203,3.34340654416268e-95,"T cells"
"NDUFB4",2.76877293667563e-99,-0.331235180715899,0.338,0.496,5.13773506129531e-95,"T cells"
"JUN",5.29995488319343e-99,-0.574416692974098,0.38,0.511,9.83459628125373e-95,"T cells"
"ATP6V1F",6.92988186012804e-98,-0.255398740400438,0.209,0.371,1.28590887796536e-93,"T cells"
"ATP5MPL",1.08458370362664e-97,-0.297745927340511,0.413,0.586,2.01255352044959e-93,"T cells"
"RPL18A",3.52099106640102e-97,0.267687234947089,0.998,0.983,6.53355102281374e-93,"T cells"
"CMTM6",1.02196205912523e-96,-0.259698753580356,0.136,0.277,1.89635279691277e-92,"T cells"
"BSG",1.49114787313536e-96,-0.279499996198126,0.227,0.382,2.76697399338997e-92,"T cells"
"RPL21",1.74206167021665e-96,0.265319303546335,0.999,0.988,3.23256963525402e-92,"T cells"
"SEC62",2.73862893069354e-96,-0.277173924615721,0.309,0.483,5.08179984379493e-92,"T cells"
"KLF6",7.17685265593347e-96,0.252615946679503,0.559,0.379,1.33173677883502e-91,"T cells"
"UBC",7.03975756570822e-95,0.334083439677052,0.904,0.809,1.30629741389282e-90,"T cells"
"POMP",2.11945455149121e-94,-0.278077846522406,0.308,0.478,3.93285986574709e-90,"T cells"
"RPS3A",1.24324106965861e-93,0.28657625526779,0.988,0.948,2.30695812885851e-89,"T cells"
"TNFSF10",1.82106674074285e-93,-0.250491647669214,0.075,0.191,3.37917144412243e-89,"T cells"
"COX17",2.23509025041128e-93,-0.300085434830098,0.305,0.459,4.14743346866316e-89,"T cells"
"ITGB1",2.15867169767862e-92,-0.275461062026742,0.171,0.321,4.00563120221244e-88,"T cells"
"S100A10",3.53824293694628e-92,-0.348910202931766,0.468,0.504,6.56556359379751e-88,"T cells"
"CLK1",3.75622418042825e-92,0.254784259931202,0.355,0.22,6.97004958920266e-88,"T cells"
"CPB1",4.64358439163681e-92,-0.255440350910007,0.044,0.14,8.61663519712127e-88,"T cells"
"RHOA",7.98244418032877e-91,-0.264207303698096,0.351,0.523,1.48122234210181e-86,"T cells"
"IER2",1.12450989117382e-88,-0.405264167735423,0.351,0.491,2.08664055406215e-84,"T cells"
"CYP17A1",3.71320003135178e-87,-0.757649368109724,0.501,0.436,6.89021397817635e-83,"T cells"
"RPL19",2.38804586749446e-86,0.252916418286297,0.997,0.982,4.43125791172272e-82,"T cells"
"FOSB",7.57384887978128e-86,-0.412405858358652,0.324,0.431,1.40540339813221e-81,"T cells"
"PSMB9",7.74386346561983e-86,0.272199451068547,0.456,0.31,1.43695130468042e-81,"T cells"
"MT-ND3",5.7487510492795e-85,-0.572284648797376,0.962,0.944,1.0667382447043e-80,"T cells"
"WSB1",1.32681772857616e-84,-0.251121236764746,0.191,0.338,2.46204297714592e-80,"T cells"
"UQCR10",1.12767713477142e-83,-0.298426960988874,0.411,0.548,2.09251769128185e-79,"T cells"
"RPS16",1.27566659732148e-83,0.251421538063935,0.995,0.97,2.36712693798974e-79,"T cells"
"SEC61G",3.85911464094957e-83,-0.251940670934789,0.35,0.514,7.16097312774602e-79,"T cells"
"DYNLL1",1.09225468322819e-82,-0.254461097486155,0.358,0.524,2.02678779019824e-78,"T cells"
"CHCHD2",4.50038337216434e-82,-0.368183124549996,0.633,0.695,8.35091138538815e-78,"T cells"
"RGS2",5.28863400283841e-82,-0.384968279166202,0.187,0.308,9.81358925566696e-78,"T cells"
"TM7SF2",8.0778664526851e-82,-0.348264430833456,0.115,0.22,1.49892889896025e-77,"T cells"
