"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"DAPL1",4.07905004226881e-83,0.581091360470564,0.314,0.041,7.569085258434e-79,"ZR"
"HSPA9",4.15499488503732e-83,0.54471031120724,0.595,0.161,7.71000850867525e-79,"ZR"
"RPS3",2.96404031031661e-82,-0.985387872771288,0.906,0.977,5.50007319982349e-78,"ZR"
"MTCH1",3.33851424590477e-82,0.563008955920982,0.627,0.185,6.1949470347009e-78,"ZR"
"CARHSP1",5.69662347224192e-82,0.520646716645923,0.573,0.148,1.05706545150921e-77,"ZR"
"SLC25A3",1.07404176650856e-81,0.620931757844703,0.837,0.396,1.99299190193328e-77,"ZR"
"GRHPR",1.3411775518751e-81,0.499172095605248,0.528,0.122,2.48868906525944e-77,"ZR"
"DDAH1",2.42512270628484e-81,0.369062208252992,0.299,0.026,4.50005769378215e-77,"ZR"
"MRPL23",6.69778128894384e-81,0.519063064017617,0.61,0.174,1.24284029597642e-76,"ZR"
"CNN3",8.56937789605076e-81,0.421116616412532,0.625,0.202,1.59013376239118e-76,"ZR"
"HMGCR",8.61906064879741e-81,0.430469968150737,0.299,0.033,1.59935289399085e-76,"ZR"
"ATP5MC1",1.30748094474185e-80,0.585295618588618,0.694,0.247,2.42616164106299e-76,"ZR"
"ABLIM1",4.85379822984468e-80,0.483257739569486,0.44,0.079,9.0067079952998e-76,"ZR"
"PRLR",5.31053967552608e-80,0.332938708436747,0.269,0.02,9.85423742190619e-76,"ZR"
"TSTD1",1.15015540099754e-79,0.534311689869813,0.588,0.162,2.13422836209103e-75,"ZR"
"CASC4",1.46705612464097e-79,0.479214690749455,0.469,0.095,2.72226934488379e-75,"ZR"
"BORCS7",6.40710755051276e-79,0.52755188815985,0.57,0.152,1.18890287707315e-74,"ZR"
"HIBADH",1.34267850814623e-78,0.439512617074116,0.44,0.081,2.49147423971615e-74,"ZR"
"DUSP2",2.3391723396982e-78,-1.13617100195027,0.007,0.384,4.34056819354399e-74,"ZR"
"TPD52L1",2.49597224299177e-78,0.501490273700311,0.543,0.143,4.63152609409553e-74,"ZR"
"PSD3",5.8520710857181e-78,0.421385657979209,0.328,0.039,1.08591031066585e-73,"ZR"
"NDUFB1",6.14099939307264e-78,0.602744740414664,0.889,0.466,1.13952384737856e-73,"ZR"
"ELOB",1.05164347957943e-77,0.613428728650936,0.923,0.564,1.95142964070759e-73,"ZR"
"NDUFS5",2.01983371113281e-77,0.597405367452667,0.889,0.466,3.74800343437804e-73,"ZR"
"MGST3",2.14277136054664e-77,0.601203573524984,0.802,0.352,3.97612653663034e-73,"ZR"
"PBX1",2.73473181775944e-77,0.45017802356201,0.464,0.097,5.07456836103442e-73,"ZR"
"MYL12A",3.46022076510915e-77,-1.07958969524924,0.237,0.63,6.42078565173654e-73,"ZR"
"CPEB4",9.21429304441061e-77,0.532200943274005,0.523,0.127,1.70980421732083e-72,"ZR"
"NEAT1",1.31543651583137e-76,0.857121839632387,0.973,0.771,2.4409239987767e-72,"ZR"
"MEG3",1.38048342101057e-76,0.269372147225955,0.563,0.182,2.56162503602722e-72,"ZR"
"REXO2",1.89830876296793e-76,0.468187825494094,0.464,0.096,3.52250174056329e-72,"ZR"
"CLIC1",3.08212503376429e-76,-0.810499673083996,0.091,0.51,5.71919121265302e-72,"ZR"
"PTPRC",3.77319497237673e-76,-0.737723791098766,0,0.35,7.00154059074226e-72,"ZR"
"CFL1",6.21807714454949e-76,-0.953163779358687,0.415,0.736,1.1538263949426e-71,"ZR"
"ARPC2",8.57733673664608e-76,-0.88097350363934,0.119,0.537,1.59161060485205e-71,"ZR"
"BST2",9.07973974764808e-76,0.666965438084292,0.931,0.525,1.68483650757358e-71,"ZR"
"TNXB",9.2687898349836e-76,0.578339187830934,0.494,0.112,1.71991664177956e-71,"ZR"
"RGS1",9.41534444665075e-76,-1.22306197732567,0.007,0.375,1.74711131552051e-71,"ZR"
"CIB1",3.03448635317368e-75,0.555293130489984,0.775,0.324,5.63079287694909e-71,"ZR"
"G0S2",4.07601508012541e-75,0.363382924816169,0.511,0.136,7.5634535826807e-71,"ZR"
"HLA-B",2.56810393747235e-74,-0.91779130450877,0.79,0.944,4.7653736663737e-70,"ZR"
"TBCA",2.81728631460592e-74,0.539212084874482,0.82,0.37,5.22775648538274e-70,"ZR"
"ACO1",4.84692688578607e-74,0.371898682866496,0.299,0.032,8.99395752926463e-70,"ZR"
"ATP6V1D",2.13657243793407e-73,0.46081132941686,0.479,0.108,3.96462381583047e-69,"ZR"
"ANXA1",4.13893005667503e-73,-0.823470281281139,0.007,0.366,7.68019861316618e-69,"ZR"
"SNHG25",7.0537887533758e-73,0.569217304818014,0.615,0.2,1.30890104107641e-68,"ZR"
"NDUFB11",9.71273772764043e-73,0.573969459406266,0.822,0.399,1.80229561274096e-68,"ZR"
